characters,retrieval score,matches
Megumi Kato,3.5416666666666665,"[2, 5, 3, 5, 5, 3, 5, 0, 4, 5, 4, 2, 5, 5, 5, 5, 2, 5, 5, 5, 0, 0, 2, 3]"
Michiru Hyodo,3.5833333333333335,"[5, 4, 5, 2, 5, 5, 5, 2, 3, 3, 4, 3, 5, 4, 3, 2, 2, 4, 5, 3, 2, 5, 1, 4]"
Utaha Kasumigaoka,3.9583333333333335,"[5, 2, 4, 5, 1, 2, 5, 4, 2, 5, 3, 3, 4, 5, 5, 4, 5, 5, 3, 5, 5, 5, 4, 4]"
Natsume Takashi,4.125,"[4, 5, 2, 5, 4, 5, 5, 0, 5, 5, 5, 5, 5, 4, 5, 5, 1, 5, 4, 5, 5, 5, 0, 5]"
Natori Shuuichi,4.416666666666667,"[5, 5, 3, 5, 5, 5, 5, 5, 4, 3, 4, 3, 5, 4, 3, 5, 5, 5, 5, 4, 5, 5, 3, 5]"
Miya Osamu,4.458333333333333,"[4, 5, 5, 5, 5, 5, 4, 5, 0, 5, 5, 5, 5, 2, 4, 4, 5, 5, 5, 5, 4, 5, 5, 5]"
Kageyama Tobio,4.541666666666667,"[5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 1, 5, 5]"
Eriri Spencer Sawamura,4.541666666666667,"[5, 5, 5, 5, 5, 4, 3, 5, 5, 1, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 4, 4, 5, 5]"
Hikigaya Hachiman,4.583333333333333,"[5, 5, 5, 4, 5, 5, 5, 5, 5, 0, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5]"
Kaori Miyazono,4.625,"[5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 4]"
Chika Kudo,4.625,"[1, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4]"
Kikyou Kushida,4.625,"[5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 2, 3, 5, 5, 5, 4, 4, 5, 5]"
Kuro Tetsuro,4.666666666666667,"[5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 3]"
Mami Nanami,4.666666666666667,"[5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5]"
Jinta Yadomi,4.708333333333333,"[4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5]"
Arima Kousei,4.75,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 3, 5, 5, 5, 5, 5]"
Kise Ryota,4.791666666666667,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5]"
Midorima Shintaro,4.791666666666667,"[5, 5, 5, 5, 5, 5, 3, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Miya Atsumu,4.791666666666667,"[5, 5, 0, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Narumi Momose,4.791666666666667,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 2]"
Izumi Hashima,4.833333333333333,"[5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5]"
Murasakibara Atsushi,4.875,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2]"
Hanako Koyanagi,4.875,"[5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Ushijima Wakatoshi,4.875,"[5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Tomoya Aki,4.875,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 3, 5, 5]"
Totsuka Saika,4.875,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Aomine Daiki,4.875,"[3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5]"
Suzune Horikita,4.875,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5]"
Satowa Hozuki,4.875,"[5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5]"
Kiyotaka Ayanokoji,4.916666666666667,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5]"
Tsubaki Sawabe,4.916666666666667,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4]"
Kotaro Bokuto,4.916666666666667,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Nagisa Furukawa,4.958333333333333,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5]"
Chizuru Mizuhara,4.958333333333333,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Sumi Sakurasawa,5.0,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Daichi Sawamura,5.0,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Kuroko Tetsuya,5.0,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Seijuro Akashi,5.0,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Ruka Sarashina,5.0,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Hinata Shoyo,5.0,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
